scenario,assumed_incremental_payment_rate,eligible_accounts,incremental_accounts_recovered,average_recovery_per_incremental_account,incremental_recovery,investment,net_value,roi_pct,benefit_cost_ratio
Downside,0.0038,16465,62.567,99035.22769045467,6196337.090908677,100000000,-93803662.90909132,-93.80366290909133,0.061963370909086775
Base,0.0076,16465,125.134,99035.22769045467,12392674.181817355,100000000,-87607325.81818265,-87.60732581818264,0.12392674181817355
Upside,0.0152,16465,250.268,99035.22769045467,24785348.36363471,100000000,-75214651.6363653,-75.21465163636529,0.2478534836363471
