check,payment_records,payment_amount,successful_payment_records,unique_accounts,interpretation
all_payment_records,25000,1878892272.89,17534,16934,Complete cleaned payment population
valid_account_attribution,25000,1878892272.89,17534,16934,Payment has an account_id present in the account master
invalid_account_attribution,0,0.0,0,0,Payment account_id is missing or absent from account master
successful_payments,17534,1315583964.6399999,17534,13284,Payment status is SUCCESS
successful_missing_payment_reference,254,18873951.93,254,252,Successful payment lacks payment_reference
successful_unresolved_borrower,1453,108872770.72,1453,1415,Successful payment has unresolved borrower relationship
successful_validly_attributed,17534,1315583964.6399999,17534,13284,Successful payment can be attributed to a canonical account
